,ade,fde,type
0,0.38847301666754036,0.6856321393951248,ml
1,,,ml
2,0.31835647663906574,0.6009905681985218,ml
3,0.2044502672038648,0.3823703251430749,ml
4,,,ml
5,0.17138903046221404,0.2131138379594258,ml
6,2.6736927649821007,7.442293979980607,ml
7,1.392243728422261,3.4443999942646966,ml
8,0.2066127787971766,0.36159507698681514,ml
9,,,ml
10,0.23725624602880074,0.48924397111270645,ml
11,,,ml
12,0.1726513636199782,0.24210657846010358,ml
13,3.7209497537403777,15.32429645294398,ml
14,,,ml
15,0.1828667360296935,0.3758666721345637,ml
16,0.36735183331267607,0.6410760725478117,ml
17,2.521888810335264,7.771313229219947,ml
18,0.23725624602880074,0.48924397111270645,ml
19,,,ml
20,,,ml
21,0.3165879990793338,1.2730674137628653,ml
22,4.929202529418292,11.402150113523257,ml
23,,,ml
24,0.1312329279491735,0.212847947588604,ml
25,2.88474503075079,6.926589798812579,ml
26,1.1497101899947466,2.260644216944994,ml
27,0.12142464600102408,0.14929986678738125,ml
28,4.002190143540424,12.121105847987888,ml
29,0.5773899993354757,0.8529077588623483,ml
30,0.10002601694524564,0.16320039749712642,ml
31,0.11859055396595296,0.1530716845979258,ml
32,0.08885132229936862,0.10028292619946141,ml
33,0.17076971134393806,0.2935941167527916,ml
34,0.5948204319772687,1.3266039044221334,ml
35,1.0130402728637729,2.582757704396772,ml
36,0.45873548750289883,0.6396653440311181,ml
37,,,ml
38,1.5647631437491127,3.6920112458397742,ml
39,,,ml
40,,,ml
41,0.11073687333370164,0.15062667915460465,ml
42,,,ml
43,,,ml
44,,,ml
45,0.5948204319772687,1.3266039044221334,ml
46,0.14584567586871416,0.36262224289210726,ml
47,1.4694580767333543,4.885759417569372,ml
48,,,ml
49,0.17667913358127305,0.3215693590958693,ml
50,0.12354792374305068,0.13154299839674907,ml
51,,,ml
52,3.444113825859765,8.996361229831882,ml
53,0.12659825274051204,0.16959270446982042,ml
54,1.8641891015360426,4.17000599930379,ml
55,0.13441579181720395,0.20482189204080736,ml
56,0.20307542125162686,0.4715371305101429,ml
57,,,ml
58,0.10624846176375476,0.13603930099825617,ml
59,1.6868017604975847,4.302418848586939,ml
60,0.2066127787971766,0.36159507698681514,ml
61,0.7789681008791034,1.7490105859577996,ml
62,,,ml
63,0.5316862361853023,1.0362142921945274,ml
64,,,ml
65,0.24496116305305138,0.36797254605636515,ml
66,0.08716391891567057,0.09046286910280234,ml
67,0.17739608845747884,0.296991930867521,ml
68,1.4694580767333543,4.885759417569372,ml
69,,,ml
70,1.829362284534764,4.885759319412365,ml
71,,,ml
72,0.1218341782625133,0.1403756091319626,ml
73,,,ml
74,,,ml
75,0.098774924543354,0.14831040239399504,ml
76,,,ml
77,0.10322480643476507,0.09465084361774928,ml
78,0.20456769509205636,0.3332194415583962,ml
79,0.13884005525156382,0.24569583900448316,ml
80,3.9317355135814145,11.269813261687649,ml
81,,,ml
82,,,ml
83,0.0861637753056837,0.09581014509254794,ml
84,,,ml
85,,,ml
86,0.46406721375513393,1.186849895471859,ml
87,1.3478824757374803,3.24596372292112,ml
88,0.5003295623622811,1.3180873823546875,ml
89,,,ml
90,0.17667913358127305,0.3215693590958693,ml
91,,,ml
92,2.4754370362187013,8.409416851413587,ml
93,1.0697430809858048,3.2447168879008164,ml
94,,,ml
95,2.5029594115540323,6.604777398920082,ml
96,3.427219255674357,8.527135480509633,ml
97,0.10396503980679599,0.10453925654956812,ml
98,0.10322480643476507,0.09465084361774928,ml
99,0.2115764841995094,0.30023668931795,ml
100,,,ml
101,0.5773899993354757,0.8529077588623483,ml
102,,,ml
103,,,ml
104,1.406633906977219,2.8993811841835715,ml
105,0.6586028275210446,1.3734827757080932,ml
106,,,ml
107,0.12600723156223073,0.1535272626774159,ml
108,,,ml
109,0.13892776329898984,0.16595748480374006,ml
110,0.20645400200727307,0.4136521000161949,ml
111,0.29436940836963066,0.8869797319926007,ml
112,0.08905242348963094,0.12317326236033387,ml
113,1.5396846063626162,3.3474854046882045,ml
114,0.9016178021156068,1.8463651329212736,ml
115,1.0638349684646424,1.5603094838603908,ml
116,,,ml
117,,,ml
118,2.867803086577921,7.343446122679076,ml
119,0.14455899980228087,0.2900609200763865,ml
120,,,ml
121,,,ml
122,,,ml
123,0.17428959826091783,0.43159105808421194,ml
124,,,ml
125,,,ml
126,,,ml
127,,,ml
128,0.21194691820099906,0.41211960746730386,ml
129,,,ml
130,,,ml
131,2.5155965875929804,3.16165031404939,ml
132,0.13603833746219543,0.2226074577809639,ml
133,,,ml
134,0.4538742324321335,1.1005910485447803,ml
135,,,ml
136,,,ml
137,0.13053613382425036,0.10484476727741719,ml
138,,,ml
139,0.11248642398981575,0.11051324856934634,ml
140,,,ml
141,,,ml
142,0.10824832129680757,0.2025197884478803,ml
143,,,ml
144,,,ml
145,0.10224961037449423,0.1151277226545393,ml
146,0.32986771292066314,0.4685271147743822,ml
147,1.9493100280412552,5.50378257268689,ml
148,0.3404675868998744,0.62708471408061,ml
149,1.8933212728715443,2.9639171871742427,ml
150,,,ml
151,3.2493393218765454,10.11629334778391,ml
152,0.20011034246139764,0.5853385994100678,ml
153,,,ml
154,,,ml
155,,,ml
156,,,ml
157,0.6412181165330768,1.461725588022515,ml
158,,,ml
159,0.1277385445236331,0.17022030868557908,ml
160,1.5647631437491127,3.6920112458397742,ml
161,,,ml
162,0.23495800062602074,0.4717606657886716,ml
163,2.4799316631921955,7.092993550987037,ml
164,,,ml
165,0.19290411148659625,0.42744056795443375,ml
166,,,ml
167,0.11232851192606896,0.23064174128711387,ml
168,1.2774198983757776,3.086094463165942,ml
169,,,ml
170,0.11037391072830582,0.13188126046959853,ml
171,0.23315579847677206,0.32749475356870467,ml
172,4.674632411314306,7.18300019863284,ml
173,0.6598563787147285,1.5746857857345529,ml
174,0.5260878435690833,1.8175884313421662,ml
175,1.829362284534764,4.885759319412365,ml
176,,,ml
177,,,ml
178,4.3341290262153365,13.774495673397254,ml
179,8.194792174344263,20.5886333672379,ml
180,0.13454420627126779,0.17685359266484527,ml
181,,,ml
182,2.4754370362187013,8.409416851413587,ml
183,0.06538764659657714,0.07977429563473042,ml
184,0.4689200931460756,1.988914340646521,ml
185,0.19842723106524104,0.48575565932035136,ml
186,0.12207317125636656,0.17685840870768932,ml
187,0.7424338773593356,1.8706390492844702,ml
188,0.11277638932135266,0.14526712847922216,ml
189,0.08885132229936862,0.10028292619946141,ml
190,4.3341290262153365,13.774495673397254,ml
191,0.21194691820099906,0.41211960746730386,ml
192,2.7534315019355327,7.68691507942892,ml
193,2.7534315019355327,7.68691507942892,ml
194,0.36735183331267607,0.6410760725478117,ml
195,0.16649018038421898,0.21509377648480973,ml
196,,,ml
197,,,ml
198,0.11268707071587325,0.17276871950965492,ml
199,,,ml
200,0.23692999070281565,0.4301386984219704,ml
201,,,ml
202,,,ml
203,1.6589768335730561,3.7295460909522675,ml
204,0.14222595283432138,0.22164517799253886,ml
205,,,ml
206,0.14831079513427847,0.38414321632291876,ml
207,3.0443584740423084,5.2386027687365955,ml
208,0.23192252725154133,0.538082118598001,ml
209,0.11308038137163032,0.13867178739243438,ml
210,2.4799316631921955,7.092993550987037,ml
211,,,ml
212,0.19420561488249302,0.31643774040878664,ml
213,0.34731169652906285,1.1401020655674656,ml
214,2.6267759479430133,6.66725308295752,ml
215,,,ml
216,0.08716391891567057,0.09046286910280234,ml
217,0.3072715360018538,0.7321172194809271,ml
218,1.406633906977219,2.8993811841835715,ml
219,1.5704818406677563,4.373315462495704,ml
220,0.16898978243169127,0.25537765955946207,ml
221,,,ml
222,,,ml
223,0.11739674735209593,0.16468439989188677,ml
224,0.2373455215534318,0.4420801505843207,ml
225,,,ml
226,,,ml
227,0.13973817757096677,0.22433598613716427,ml
228,,,ml
229,,,ml
230,,,ml
231,,,ml
232,,,ml
233,,,ml
234,,,ml
235,,,ml
236,0.10857504010383288,0.1597800345105643,ml
237,,,ml
238,,,ml
239,,,ml
240,0.3741945874833898,0.8360959293059633,ml
241,2.5029594115540323,6.604777398920082,ml
242,,,ml
243,0.12782777490744315,0.2057449498921471,ml
244,1.8016865296097986,3.919438749272601,ml
245,,,ml
246,,,ml
247,,,ml
248,3.2493393218765454,10.11629334778391,ml
249,,,ml
250,,,ml
251,0.2197097135137853,0.30624951986463994,ml
252,,,ml
253,2.5155965875929804,3.16165031404939,ml
254,0.19523406524591566,0.3873668781478291,ml
255,0.14456659194678328,0.31686692813591344,ml
256,0.21190707778821935,0.3338288411909481,ml
257,0.19671789722617375,0.3821241456671775,ml
258,0.2672931826792927,0.5053527723781437,ml
259,,,ml
260,,,ml
261,2.757581410639109,6.712142335473679,ml
262,0.9737945312719598,2.4379773082936467,ml
