,ade,fde,type
0,,,ml
1,,,ml
2,3.055991998442659,6.531242204552247,ml
3,,,ml
4,1.6050888126663192,3.8110271440121513,ml
5,2.169660461204818,3.751402359255874,ml
6,,,ml
7,,,ml
8,,,ml
9,,,ml
10,1.7455279279185283,3.5096628283793647,ml
11,,,ml
12,0.3499244600278016,0.484215785930981,ml
13,1.2651187577081984,4.117359360511463,ml
14,,,ml
15,3.055991998442659,6.531242204552247,ml
16,,,ml
17,4.4624210363375,15.635913671709584,ml
18,,,ml
19,1.393016232966526,3.145473848477777,ml
20,,,ml
21,0.3559024675181299,0.6519472940668083,ml
22,3.055991998442659,6.531242204552247,ml
23,,,ml
24,,,ml
25,,,ml
26,0.9239440765542538,2.515587106237999,ml
27,,,ml
28,,,ml
29,0.9051733749880128,2.205098582386219,ml
30,,,ml
31,0.8025950565312753,2.976055821091523,ml
32,,,ml
33,2.1265945363824255,4.81829958623796,ml
34,,,ml
35,1.5604193457730535,4.672795753291998,ml
36,1.2431872236805854,3.309152491880622,ml
37,,,ml
38,,,ml
39,2.9592968333006104,6.093831062699624,ml
40,1.7586357361299811,4.431706939662378,ml
41,0.674298754204619,2.1050401246389194,ml
42,1.3738835597597456,3.2362380000387576,ml
43,,,ml
44,,,ml
45,0.7023495708287759,1.452427036121241,ml
46,1.1184703250816048,2.5199017212619648,ml
47,6.133060828967634,13.882509020001121,ml
48,,,ml
49,,,ml
50,,,ml
51,1.4164488319984907,4.304737449159294,ml
52,1.1224234653462295,2.647969830217395,ml
53,,,ml
54,,,ml
55,,,ml
56,,,ml
57,,,ml
58,,,ml
59,0.8491868670719077,1.5147489713882014,ml
60,,,ml
61,1.6741048428824434,3.6443551573199477,ml
62,,,ml
63,2.250787769119207,5.118841818454153,ml
64,,,ml
65,0.9448095592474971,2.580067462732385,ml
66,,,ml
67,0.8744428017403783,1.9962202192152176,ml
68,,,ml
69,,,ml
70,1.5557201867786559,4.420423058088661,ml
71,,,ml
72,1.2732777832863893,2.9050368513400593,ml
73,,,ml
74,1.2817427794166762,3.017811825817737,ml
75,,,ml
76,,,ml
77,0.6606563649098774,0.9300422097672082,ml
78,,,ml
79,,,ml
80,0.8993868213408993,2.0738701415546363,ml
81,,,ml
82,,,ml
83,2.2151351219679207,5.405012041557264,ml
84,,,ml
85,2.6271402149889758,5.461688795838527,ml
86,,,ml
87,,,ml
88,,,ml
89,1.7805582753293439,4.054457015743694,ml
90,,,ml
91,,,ml
92,,,ml
93,1.3738835597597456,3.2362380000387576,ml
94,,,ml
95,,,ml
96,,,ml
97,1.4097193396119323,3.9044378225755683,ml
98,,,ml
99,,,ml
100,,,ml
101,,,ml
102,1.2577377319518015,3.8638451822891478,ml
103,0.8523738754687903,1.6282559857148118,ml
104,1.5741947401845726,4.072699165237618,ml
105,,,ml
106,0.17633232372533428,0.20470311866111465,ml
107,0.9646896356319922,1.9239082825794307,ml
108,3.055991998442659,6.531242204552247,ml
109,,,ml
110,,,ml
111,,,ml
112,1.7455279279185283,3.5096628283793647,ml
113,1.1390933162359702,3.2910724282756223,ml
114,,,ml
115,,,ml
116,,,ml
117,,,ml
118,,,ml
119,2.0090722330274957,5.566385543626903,ml
120,1.3463250855536046,2.8577189839122163,ml
121,,,ml
122,,,ml
123,0.828874536457617,1.5483089291627918,ml
124,0.25161366925815304,0.3566524258873893,ml
125,,,ml
