52501,87026,1897,1575,1
52501,87207,1854,1511,1
52501,87444,1937,1573,1
52501,87547,1883,1633,1
52501,89005,1896,1522,1
52501,89531,1880,1621,1
52501,89846,1905,1654,1
52501,89952,1840,1517,1
52501,89974,1885,1491,1
52501,90095,1932,1540,1
52501,90130,1905,1468,1
52501,90280,1818,1545,1
52501,90437,1836,1584,1
52501,90567,1873,1614,1
52501,90611,1887,1577,1
52501,90655,1930,1702,1
52501,90850,1866,1482,1
52501,91465,1861,1690,1
52501,91504,1768,1588,1
52501,91548,1873,1419,1
52501,91614,1808,1594,1
52501,91636,1790,1689,1
52501,91640,1778,1481,1
52501,91642,1859,1682,1
52501,91804,1924,1668,1
52501,91817,1844,1479,1
52501,91839,1850,1613,1
52501,91927,1858,1670,1
52501,92012,1920,1541,1
52501,92066,1927,1630,1
52501,92068,1817,1451,1
52501,92084,1813,1485,1
52501,92110,1818,1442,1
52501,92192,1778,1435,1
52511,87026,1897,1576,1
52511,87207,1854,1514,1
52511,87444,1936,1572,1
52511,87547,1883,1633,1
52511,89005,1896,1525,1
52511,89531,1881,1622,1
52511,89846,1904,1655,1
52511,89952,1840,1518,1
52511,89974,1885,1492,1
52511,90095,1933,1541,1
52511,90130,1905,1468,1
52511,90280,1817,1543,1
52511,90437,1835,1581,1
52511,90567,1874,1614,1
52511,90655,1930,1703,1
52511,90850,1865,1483,1
52511,91044,1776,1427,1
52511,91180,1843,1698,1
52511,91465,1859,1681,1
52511,91504,1767,1574,1
52511,91548,1873,1420,1
52511,91636,1788,1678,1
52511,91640,1775,1470,1
52511,91642,1862,1679,1
52511,91804,1924,1668,1
52511,91817,1843,1482,1
52511,91839,1847,1614,1
52511,91878,1819,1438,1
52511,91927,1858,1670,1
52511,91929,1861,1688,1
52511,92066,1927,1632,1
52511,92077,1800,1461,1
52511,92084,1815,1485,1
52511,92137,1921,1534,1
52511,92167,1842,1471,1
52521,87026,1895,1575,1
52521,87207,1853,1513,1
52521,87444,1935,1571,1
52521,87547,1882,1632,1
52521,89005,1895,1523,1
52521,89525,1872,1613,1
52521,89531,1881,1623,1
52521,89846,1904,1654,1
52521,89952,1841,1515,1
52521,89974,1886,1492,1
52521,90095,1931,1540,1
52521,90130,1906,1473,1
52521,90280,1817,1544,1
