,value,metric,type
113,-0.5843567751802551,kde,full
114,-0.22293357016604226,kde,full
115,-0.5876041105697166,kde,full
116,1.3181096924385942,kde,full
117,0.31196752035659653,kde,full
118,2.940195506661256,kde,full
119,7.469759178037305,kde,full
120,3.0678015401409606,kde,full
121,2.5890891392450888,kde,full
122,6.048558852115883,kde,full
123,2.899483570953633,kde,full
124,3.6395678728087684,kde,full
125,8.40441000795529,kde,full
126,1.143416179424426,kde,full
127,4.360581991505686,kde,full
128,2.9041803132876867,kde,full
129,4.7436903361793625,kde,full
130,4.601557804005375,kde,full
131,0.059062213100065264,kde,full
132,2.4492388686568924,kde,full
133,0.021568694443306724,kde,full
134,-0.30926112534779265,kde,full
135,1.3683184823696062,kde,full
136,-1.1851252209863907,kde,full
137,-0.3715349024800415,kde,full
138,-0.9819139344630133,kde,full
139,-0.7389972604608256,kde,full
140,-0.8128073642003307,kde,full
141,3.0114695888891454,kde,full
142,-1.5714715764156213,kde,full
143,1.7969553180531146,kde,full
144,5.459996378635453,kde,full
145,-1.1706915652656922,kde,full
146,9.832985614302435,kde,full
147,0.8874484361943307,kde,full
148,3.1020885136876224,kde,full
149,-1.0250499483145288,kde,full
150,3.497046349612463,kde,full
151,0.0808290744256912,kde,full
152,-0.25103545078171585,kde,full
153,-0.36537948804946857,kde,full
154,-1.2705171230030017,kde,full
155,-1.4222882430153274,kde,full
156,0.1955627683734243,kde,full
157,2.0466653397722587,kde,full
158,1.126644849866325,kde,full
159,1.7921803884878236,kde,full
160,3.4120695597596296,kde,full
161,3.0348409221792183,kde,full
162,6.649598534561251,kde,full
163,1.6905507901546406,kde,full
164,3.610858476441585,kde,full
165,4.360802146088947,kde,full
166,1.5219755736956433,kde,full
167,6.461671606204582,kde,full
168,2.023868895187531,kde,full
169,2.606589891299623,kde,full
170,3.199652826308773,kde,full
171,4.031207173489468,kde,full
172,1.4896587204560854,kde,full
173,3.044233239256791,kde,full
174,0.018972958121621947,kde,full
175,2.7618865095321072,kde,full
176,0.7472199181037877,kde,full
177,7.482659678183644,kde,full
178,2.1418851244458685,kde,full
179,3.8593818213422204,kde,full
180,3.004206026514927,kde,full
181,2.2451966635001,kde,full
182,1.3029172276451242,kde,full
183,1.8098064620650423,kde,full
184,-0.6105725304263192,kde,full
185,-1.3603156223103974,kde,full
186,-1.369595889535322,kde,full
187,-0.31267726465030893,kde,full
188,-0.5549960925662563,kde,full
189,2.3170496456404432,kde,full
190,1.6000446622519229,kde,full
191,8.27833430858052,kde,full
192,0.533650201957444,kde,full
193,0.8927163295525719,kde,full
194,6.484039619017146,kde,full
195,2.0312536333393783,kde,full
196,2.5318559352600842,kde,full
197,-0.13156334351756738,kde,full
198,2.1755205637664856,kde,full
199,-0.04914488803787298,kde,full
200,-1.3250801833851646,kde,full
201,-0.38785127456124197,kde,full
202,0.4575323407023457,kde,full
203,1.1765027963204349,kde,full
204,4.210270910967308,kde,full
205,1.4364098531334164,kde,full
206,-0.41532917023155513,kde,full
207,0.06130279285029605,kde,full
208,-0.5368055337096236,kde,full
209,0.5127805009051054,kde,full
210,2.4563553444776045,kde,full
211,-0.3197145903722918,kde,full
212,3.014043847775498,kde,full
213,3.3488623754351474,kde,full
214,0.6553462037185358,kde,full
215,5.5862277179910445,kde,full
216,3.2840236995634657,kde,full
217,3.1240837451979555,kde,full
218,4.0489928018874055,kde,full
219,6.771159153392883,kde,full
220,3.9977236295643994,kde,full
221,11.62006579723453,kde,full
222,8.070118343990988,kde,full
223,13.611551877970022,kde,full
224,3.014107416558236,kde,full
225,16.236424771992624,kde,full
226,3.3010403721729675,kde,full
227,4.345561545402736,kde,full
228,2.690195244539661,kde,full
229,1.4927785833219942,kde,full
230,0.1317511900271711,kde,full
231,1.2488073205952832,kde,full
232,-1.0765122923256152,kde,full
233,0.21626236840911833,kde,full
234,1.4478603337425113,kde,full
235,5.190374771548715,kde,full
236,3.57666042933901,kde,full
237,1.4721525280454824,kde,full
238,1.4127910163892672,kde,full
239,0.52088826661623,kde,full
240,0.3271811998719876,kde,full
241,0.26077767855779316,kde,full
242,1.5338107503083012,kde,full
243,2.6800485400454366,kde,full
244,5.074098767136685,kde,full
245,1.3609550548247777,kde,full
246,0.9833321709204079,kde,full
247,-0.6325345812323808,kde,full
248,0.11347813963685077,kde,full
249,-0.9970649725719518,kde,full
250,-1.2994347133489383,kde,full
251,-0.5255331220740593,kde,full
252,1.9104669220573751,kde,full
253,-0.16131230379601277,kde,full
254,-0.6608167498082457,kde,full
255,2.1766629276614884,kde,full
256,-0.10006342592487219,kde,full
257,4.642659478901981,kde,full
258,4.150338937873993,kde,full
259,0.8288304781531557,kde,full
260,0.42105211095966766,kde,full
261,1.2013241356814546,kde,full
262,-0.5936975051098252,kde,full
263,0.4990521647584198,kde,full
264,-1.2807425078404537,kde,full
265,-1.9684790248358226,kde,full
266,-1.053683777261303,kde,full
267,0.3251625363198066,kde,full
268,1.5581690772974843,kde,full
269,2.168096449486866,kde,full
270,-0.1987381621857534,kde,full
271,1.2219992564621212,kde,full
272,10.547429923986797,kde,full
273,0.0916627801949329,kde,full
274,0.9695298763679744,kde,full
275,1.595261991812757,kde,full
276,4.980297743988011,kde,full
277,0.8453250193441706,kde,full
278,-0.6787839607924364,kde,full
279,2.375531834646526,kde,full
280,6.481702134101255,kde,full
281,0.9411717237162847,kde,full
282,-1.3145954467478869,kde,full
283,-0.04309318113825661,kde,full
284,2.0243248005488894,kde,full
285,2.4547107163728543,kde,full
286,0.3283541781812482,kde,full
287,0.949325977569303,kde,full
288,1.3638903603363308,kde,full
289,0.45739088791681914,kde,full
290,1.9715734799001818,kde,full
291,0.7068950059661091,kde,full
292,0.8815108720655249,kde,full
293,7.722829706367252,kde,full
294,5.292748272037334,kde,full
295,3.602012214995394,kde,full
296,4.13148906393176,kde,full
297,2.4429753915236603,kde,full
298,2.22529523548602,kde,full
299,2.932907541460467,kde,full
300,3.6407406078697617,kde,full
301,2.8220067812747542,kde,full
302,0.5853523878116773,kde,full
303,-0.5924374205738613,kde,full
304,-1.1928289059280275,kde,full
305,0.09563377194674694,kde,full
306,-1.2799430383264623,kde,full
307,0.30857281391218055,kde,full
308,-0.6278285967840325,kde,full
309,0.8870749059806167,kde,full
310,0.6705099320666574,kde,full
311,1.236363441078198,kde,full
312,1.3134125719883443,kde,full
313,0.6541508798703674,kde,full
314,0.11994294967717742,kde,full
315,6.771314619150221,kde,full
316,-0.4124863655073332,kde,full
317,0.7351857997669581,kde,full
318,3.0352693359593688,kde,full
319,1.6899483252192788,kde,full
320,0.2191528580164478,kde,full
321,0.755080707131532,kde,full
322,1.688679855492953,kde,full
323,1.24256122983799,kde,full
324,0.23254492532252125,kde,full
325,1.1908104580614352,kde,full
326,8.807717258815643,kde,full
327,0.00728873743499725,kde,full
328,2.8534878688773246,kde,full
329,9.281899293585433,kde,full
330,2.7837949561908313,kde,full
331,4.484140791037777,kde,full
332,0.0716505288647423,kde,full
333,0.10656720106461125,kde,full
334,-0.5437924563216874,kde,full
335,-0.17093748791176344,kde,full
336,1.354453054915575,kde,full
337,-0.625070637733769,kde,full
338,-0.12737591464772471,kde,full
339,0.46975020137095613,kde,full
340,-1.5428813064103548,kde,full
341,-1.4146055068805148,kde,full
342,-1.4092211886976123,kde,full
343,-1.7528450405564526,kde,full
344,-1.3024025423774483,kde,full
345,-1.2463996979098377,kde,full
346,-1.9721203223780597,kde,full
