,value,metric,type
0,1.7880811265755687,fde,ml
1,1.4762117725980237,fde,ml
2,2.6938114920276393,fde,ml
3,6.097772086779594,fde,ml
4,1.9181224588607089,fde,ml
5,0.5602901869643118,fde,ml
6,1.4489139296788982,fde,ml
7,0.2930784155889747,fde,ml
8,0.013282327610684347,fde,ml
9,0.6344868077451425,fde,ml
10,0.15004533970967412,fde,ml
11,0.012211253361932616,fde,ml
12,0.45717890954038054,fde,ml
13,0.22686274048814853,fde,ml
14,0.02079417172647647,fde,ml
15,0.45749813829599245,fde,ml
16,0.1994994863031857,fde,ml
17,0.04304451798698328,fde,ml
18,0.45717890954038054,fde,ml
19,0.4798936355878602,fde,ml
20,0.06375171193147468,fde,ml
21,0.42614964361415203,fde,ml
22,1.009712073177797,fde,ml
23,0.06375171193147468,fde,ml
24,0.3897766558671895,fde,ml
25,0.8233333143843548,fde,ml
26,0.06044566484561327,fde,ml
27,0.9830571554867592,fde,ml
28,0.37011567122534295,fde,ml
29,0.06768106647825632,fde,ml
30,2.2071549179569367,fde,ml
31,0.2851535403027978,fde,ml
32,0.06481893561628836,fde,ml
33,2.4351147724482907,fde,ml
34,0.5862837026485802,fde,ml
35,0.06836838009858952,fde,ml
36,2.5714419259785113,fde,ml
37,0.8881936812027963,fde,ml
38,0.06992599218295133,fde,ml
39,1.4451430370533882,fde,ml
40,0.6342369839524687,fde,ml
41,0.06851688476061216,fde,ml
42,0.7649940906832101,fde,ml
43,0.9216940556140114,fde,ml
44,0.07692810664641213,fde,ml
45,1.1564176166444569,fde,ml
46,0.19695429217400903,fde,ml
47,0.7580578412456422,fde,ml
48,0.19851507422538678,fde,ml
49,0.7411256261042691,fde,ml
50,0.16422252653664793,fde,ml
51,0.3601949357981916,fde,ml
52,0.09907761276103015,fde,ml
53,1.6399734587958419,fde,ml
54,0.10503497702980816,fde,ml
55,3.2934520681240365,fde,ml
56,0.09126887356392908,fde,ml
57,0.9469576685527513,fde,ml
58,0.09887640930071347,fde,ml
59,0.33634627932607475,fde,ml
60,2.5880057801567116,fde,ml
61,0.579525579830307,fde,ml
62,1.279123348478803,fde,ml
63,5.504139281403066,fde,ml
64,3.2315576647519437,fde,ml
65,0.6349287680205822,fde,ml
66,1.0751267315456061,fde,ml
67,1.2761669783575835,fde,ml
68,1.4612590235832144,fde,ml
69,1.3975440328076603,fde,ml
70,3.1605586522285285,fde,ml
71,3.8366686637497045,fde,ml
72,3.7746403003153963,fde,ml
73,2.4609222510070614,fde,ml
74,1.3700549778867588,fde,ml
75,1.40906532794435,fde,ml
76,1.5126763022900982,fde,ml
77,1.4567089664487005,fde,ml
78,1.4530333745494073,fde,ml
79,0.8522689188422734,fde,ml
80,1.751880071315704,fde,ml
81,1.1412667177636118,fde,ml
82,2.773785860611751,fde,ml
83,2.287086177546999,fde,ml
84,0.8768500933805368,fde,ml
85,0.17188696768373232,fde,ml
86,0.4679603163641807,fde,ml
87,0.41448199488973647,fde,ml
88,0.7813287046979609,fde,ml
89,1.2124802617072878,fde,ml
90,1.457875124453853,fde,ml
91,2.23832171654472,fde,ml
92,2.1391870009407916,fde,ml
93,2.483210564853241,fde,ml
94,2.866177557178301,fde,ml
95,3.337170886855169,fde,ml
96,3.747829255396373,fde,ml
97,1.7881489715793664,fde,ml
98,2.087952214945727,fde,ml
99,3.443428004345597,fde,ml
100,1.8785348855058202,fde,ml
101,0.639235602503308,fde,ml
102,0.4032274237180346,fde,ml
103,1.0626771324743443,fde,ml
104,0.9086457619244968,fde,ml
105,0.977848102203758,fde,ml
106,0.7557151820716799,fde,ml
107,1.3574980712484248,fde,ml
108,0.7470320014181249,fde,ml
109,0.5716359241934886,fde,ml
110,0.6325551525501563,fde,ml
111,1.0600731534143732,fde,ml
112,0.6271716000453095,fde,ml
113,0.9528669013813511,fde,ml
114,1.738493322011228,fde,ml
115,1.3840780158363553,fde,ml
116,2.2039919974116007,fde,ml
117,1.8303881437692657,fde,ml
118,1.5710313247294876,fde,ml
119,3.4944750904657367,fde,ml
120,3.6057320104836887,fde,ml
121,3.523087244580837,fde,ml
122,3.629472300672411,fde,ml
123,2.4108832621543836,fde,ml
124,2.819333308570222,fde,ml
125,4.050525723661487,fde,ml
126,2.7514989329969333,fde,ml
127,2.480408471335304,fde,ml
128,3.1883434963226502,fde,ml
129,3.3063017764528557,fde,ml
130,3.238493090348353,fde,ml
131,2.181640549535489,fde,ml
132,2.250938646882892,fde,ml
133,1.433329200555414,fde,ml
134,1.4594322588592852,fde,ml
135,1.6849947763472672,fde,ml
136,0.6668327190823032,fde,ml
137,0.9420093632694981,fde,ml
138,0.3001535479393812,fde,ml
139,0.9558476934832477,fde,ml
140,0.9117254124294285,fde,ml
141,2.846006432225909,fde,ml
142,0.22017376972625916,fde,ml
143,3.107043378928663,fde,ml
144,1.7999518714701153,fde,ml
145,0.7708865786021195,fde,ml
146,4.155590889532842,fde,ml
147,0.8739784564542364,fde,ml
148,1.9128001672900323,fde,ml
149,0.5464031304547237,fde,ml
150,2.415054735761226,fde,ml
151,2.3845555516158368,fde,ml
152,0.8058375059337034,fde,ml
153,0.7937904669943778,fde,ml
154,0.4171568582078312,fde,ml
155,0.9153169091880636,fde,ml
156,1.6606221467186126,fde,ml
157,2.177667227760129,fde,ml
158,2.2944326013198437,fde,ml
159,2.3968437368017477,fde,ml
160,0.6943628254288868,fde,ml
161,2.221398069320142,fde,ml
162,3.7836593631421773,fde,ml
163,1.7896347969319077,fde,ml
164,1.1624695911483653,fde,ml
165,1.9222063117161998,fde,ml
166,2.1924477162938687,fde,ml
167,2.41808666379887,fde,ml
168,2.279561990634572,fde,ml
169,1.2152528706186259,fde,ml
170,1.473940232439565,fde,ml
171,2.2682420876129794,fde,ml
172,0.98512383360562,fde,ml
173,1.953449570096758,fde,ml
174,1.0558103292358085,fde,ml
175,1.2471718848377835,fde,ml
176,0.9076728437190704,fde,ml
177,1.171966876755579,fde,ml
178,1.7193021949862781,fde,ml
179,2.6147453954449538,fde,ml
180,1.7096340207245775,fde,ml
181,1.616178340634452,fde,ml
182,0.9263787019603335,fde,ml
183,0.878664008355572,fde,ml
184,0.440572777937101,fde,ml
185,1.4006123685103002,fde,ml
186,1.3287087136754745,fde,ml
187,1.7110198541752921,fde,ml
188,1.5196402588765985,fde,ml
189,1.6425276404810643,fde,ml
190,1.5065895129827775,fde,ml
191,1.6839715095947556,fde,ml
192,0.5295074426701927,fde,ml
193,1.0506370580269453,fde,ml
194,0.20374138394456234,fde,ml
195,2.700429621903531,fde,ml
196,3.6997288419849204,fde,ml
197,1.665417800022214,fde,ml
198,0.613155761124364,fde,ml
199,1.020841859436543,fde,ml
200,1.1288374701016803,fde,ml
201,1.2192147039675028,fde,ml
202,1.5525869384292803,fde,ml
203,1.7110880192001545,fde,ml
204,1.8946843085324945,fde,ml
205,1.0800830658798364,fde,ml
206,0.8556537387807768,fde,ml
207,0.8107318274119442,fde,ml
208,1.476670366031258,fde,ml
209,1.9919143908988477,fde,ml
210,2.4663010967068364,fde,ml
211,2.1891486633444224,fde,ml
212,3.9106499657723925,fde,ml
213,4.727915774110689,fde,ml
214,2.4376722231257113,fde,ml
215,4.960324508581913,fde,ml
216,4.086259657015552,fde,ml
217,5.2016932051931954,fde,ml
218,4.895526346469757,fde,ml
219,5.904800737773948,fde,ml
220,5.073372322123683,fde,ml
221,6.770705307305779,fde,ml
222,5.514409458715098,fde,ml
223,7.913752032996979,fde,ml
224,4.795056760914795,fde,ml
225,8.931910787731537,fde,ml
226,4.594102071323031,fde,ml
227,5.1011987723701475,fde,ml
228,3.3672216772323074,fde,ml
229,2.400422888506357,fde,ml
230,1.7055265991173145,fde,ml
231,0.712480625618935,fde,ml
232,0.33475426526236546,fde,ml
233,2.0221362675344685,fde,ml
234,3.1976059921546276,fde,ml
235,3.815171502699271,fde,ml
236,3.862373224144166,fde,ml
237,3.011241552709437,fde,ml
238,2.704561524938722,fde,ml
239,1.6588201338230977,fde,ml
240,0.9543918759470116,fde,ml
241,2.0868560115313173,fde,ml
242,3.0934580577110316,fde,ml
243,3.560864478010932,fde,ml
244,4.172297646188882,fde,ml
245,2.124110673258427,fde,ml
246,2.187141253809927,fde,ml
247,1.0335749415894948,fde,ml
248,1.0419926603168235,fde,ml
249,0.9352669035974933,fde,ml
250,0.6313459916729454,fde,ml
251,0.7238165288977046,fde,ml
252,1.1039862475171924,fde,ml
253,0.8677766644621423,fde,ml
254,0.329454466712383,fde,ml
255,1.0225946478608798,fde,ml
256,0.6331541146789195,fde,ml
257,3.089849060419618,fde,ml
258,1.4939414675627132,fde,ml
259,0.46170377044557875,fde,ml
260,1.44883845175409,fde,ml
261,1.5072759994540976,fde,ml
262,0.9814928701654703,fde,ml
263,1.1446231113850514,fde,ml
264,1.1690334365198922,fde,ml
265,0.28225641265886076,fde,ml
266,0.4335239758495072,fde,ml
267,2.279676248933609,fde,ml
268,2.5134233347528667,fde,ml
269,2.936443031735338,fde,ml
270,0.316121361258977,fde,ml
271,2.18505822957579,fde,ml
